"","...1","gene_name","LipidProbe","logFC","pvalue","hit_annotation"
"342",683,"G3BP2","PA",-1.3005146,0.1238397,"no hit"
"343",685,"RPN1","PA",0.9055281,0.1245692,"no hit"
"344",687,"RAB8A","PA",0.3653774,0.1251734,"no hit"
"345",689,"C17orf75","PA",-0.3864451,0.1263078,"no hit"
"346",691,"HNRNPA2B1","PA",-0.5177406,0.1267995,"no hit"
"347",693,"CAPZB","PA",-0.4487241,0.1270582,"no hit"
"348",695,"HSD17B10","PA",0.6434498,0.1279775,"no hit"
"349",697,"FLOT2","PA",0.716083,0.1282138,"no hit"
"350",699,"VDAC2","PA",0.6761461,0.1286019,"no hit"
"351",701,"SLIRP","PA",0.8045309,0.1291731,"no hit"
"352",703,"ANXA3","PA",-0.6137583,0.1298005,"no hit"
"353",705,"STT3A","PA",0.5832009,0.130501,"no hit"
"354",707,"COX5A","PA",0.6865719,0.1308077,"no hit"
"355",709,"CD320","PA",0.3318795,0.1317788,"no hit"
"356",711,"EIF4A1","PA",-1.0769287,0.1320805,"no hit"
"357",713,"HSPA5","PA",0.7608667,0.1340677,"no hit"
"358",715,"ARL15","PA",0.4211931,0.134865,"no hit"
"359",717,"FAM234A","PA",0.4876238,0.1354343,"no hit"
"360",719,"SGTA","PA",-0.6912632,0.1355253,"no hit"
"361",721,"ACTR3","PA",0.7209652,0.1361174,"no hit"
"362",723,"GPX8","PA",0.7813264,0.1384419,"no hit"
"363",725,"NSDHL","PA",0.610431,0.1396551,"no hit"
"364",727,"SAE1","PA",-0.6869693,0.1399645,"no hit"
"365",729,"TPI1","PA",-0.8752863,0.14031,"no hit"
"366",731,"GNB2","PA",0.9235087,0.1415669,"no hit"
"367",733,"PHB","PA",1.0004014,0.1415971,"no hit"
"368",735,"ALDOC","PA",-0.46236,0.1417159,"no hit"
"369",737,"DNPH1","PA",-0.5491632,0.1432261,"no hit"
"370",739,"BSG","PA",0.7674527,0.1432631,"no hit"
"371",741,"NUDT21","PA",0.3128488,0.1436832,"no hit"
"372",743,"CNOT1","PA",-0.977367,0.1438879,"no hit"
"373",745,"EZR","PA",1.2053525,0.1447796,"no hit"
"374",747,"RPS12","PA",-0.5167728,0.1453146,"no hit"
"375",749,"ERP29","PA",0.8413553,0.1453974,"no hit"
"376",751,"RHOA","PA",0.3476848,0.145595,"no hit"
"377",753,"FLOT1","PA",0.7270289,0.1458074,"no hit"
"378",755,"KDELC2","PA",0.4823694,0.1460138,"no hit"
"379",757,"GCN1","PA",-1.0153633,0.1481564,"no hit"
"380",759,"STX6","PA",-0.3582669,0.1487628,"no hit"
"381",761,"GSS","PA",-0.5830147,0.1490047,"no hit"
"382",763,"RPS10","PA",-1.0015419,0.1493796,"no hit"
"383",765,"CPM","PA",0.6025927,0.1507395,"no hit"
"384",767,"NAA15","PA",-1.1184321,0.1511476,"no hit"
"385",769,"SBDS","PA",-0.6783491,0.1515137,"no hit"
"386",771,"DKFZp566H1924|NPTN","PA",0.7993142,0.1515462,"no hit"
"387",773,"CNP","PA",1.0902907,0.1517786,"no hit"
"388",775,"PLOD3","PA",0.7053834,0.1517808,"no hit"
"389",777,"SYNGR2","PA",-0.5886332,0.1522276,"no hit"
"390",779,"TUBB","PA",-0.6155474,0.1551852,"no hit"
"391",781,"HSPD1","PA",0.9014326,0.1561475,"no hit"
"392",783,"TPP2","PA",0.814883,0.156263,"no hit"
"393",785,"PSME2","PA",-0.6709449,0.1574189,"no hit"
"394",787,"TMEM43","PA",0.3461815,0.1575705,"no hit"
"395",789,"FOLR1","PA",0.7011765,0.1580814,"no hit"
"396",791,"MDH1","PA",-0.5272863,0.1583154,"no hit"
"397",793,"PMPCB","PA",0.6668214,0.1590304,"no hit"
"398",795,"COLGALT1","PA",0.8325576,0.1591766,"no hit"
"399",797,"ARPC3","PA",0.3714443,0.1598194,"no hit"
"400",799,"ATP5H","PA",0.8068191,0.1600204,"no hit"
"401",801,"LGALS1","PA",0.4184166,0.160468,"no hit"
"402",803,"RTN4RL2","PA",0.4518794,0.1605016,"no hit"
"403",805,"CAPZA2","PA",-0.3140864,0.1619901,"no hit"
"404",807,"TPM3|DKFZp686J1372","PA",0.6399644,0.162359,"no hit"
"405",809,"FAM120A","PA",-0.6677745,0.1667286,"no hit"
"406",811,"ATP11C","PA",0.3302766,0.1685136,"no hit"
"407",813,"CNPY3","PA",0.433502,0.1691744,"no hit"
"408",815,"PSME1","PA",-0.8286533,0.1701342,"no hit"
