"","gene_name","LipidProbe","logFC","pvalue","hit_annotation"
"324","SCAMP3","PE",-0.7810753,0.0116302,"no hit"
"325","CLIC4","PA",0.4297073,0.0265122,"no hit"
"326","CLIC4","PE",0.27355,0.1415954,"no hit"
"327","PPP2R1A","PA",-0.9015254,0.0269971,"no hit"
"328","PPP2R1A","PE",-0.7913703,0.0488287,"no hit"
"329","KRAS","PA",0.7409604,0.0275758,"enriched candidate"
"330","KRAS","PE",0.5669426,0.0833111,"no hit"
"331","ATP5F1","PA",0.8173218,0.0276858,"enriched candidate"
"332","ATP5F1","PE",1.2246776,0.0020778,"enriched hit"
"333","CLTA","PA",-0.839567,0.0277006,"no hit"
"334","CLTA","PE",-1.0333273,0.0085783,"no hit"
"335","ACAT1","PA",1.0392981,0.0277856,"enriched candidate"
"336","ACAT1","PE",1.6812198,0.0011031,"enriched hit"
"337","ATP5C1","PA",1.1618019,0.027949,"enriched candidate"
"338","ATP5C1","PE",1.8541359,0.0012522,"enriched hit"
"339","TRAP1","PA",1.2101336,0.0280957,"enriched candidate"
"340","TRAP1","PE",1.7001014,0.0035008,"enriched hit"
"341","CD46","PA",0.56018,0.0281057,"no hit"
"342","CD46","PE",0.2873589,0.2367035,"no hit"
"343","UBA1","PA",-0.8405999,0.0293119,"no hit"
"344","UBA1","PE",-0.9717312,0.0135212,"no hit"
"345","PSME3","PA",-0.745981,0.0303332,"no hit"
"346","PSME3","PE",-0.8403125,0.0163339,"no hit"
"347","UQCRC2","PA",0.9581527,0.0313243,"enriched candidate"
"348","UQCRC2","PE",1.2745486,0.00607,"enriched hit"
"349","PLIN3","PA",-1.0299114,0.0315516,"no hit"
"350","PLIN3","PE",-1.3996025,0.0052927,"no hit"
"351","ADPGK","PA",0.4577273,0.0316733,"no hit"
"352","ADPGK","PE",0.5923353,0.0074157,"enriched candidate"
"353","YBX1","PA",-1.7691166,0.032033,"no hit"
"354","YBX1","PE",-1.5395923,0.0582983,"no hit"
"355","ICAM1","PA",0.6716955,0.0323045,"enriched candidate"
"356","ICAM1","PE",0.6189284,0.0465526,"enriched candidate"
"357","TUBB4B","PA",-0.6867938,0.0324495,"no hit"
"358","TUBB4B","PE",-0.6738949,0.0354415,"no hit"
"359","APOL2","PA",0.7718817,0.0326253,"enriched candidate"
"360","APOL2","PE",0.8687097,0.0178734,"enriched candidate"
"361","SAR1A","PA",-0.7370703,0.032772,"no hit"
"362","SAR1A","PE",-0.5664139,0.0925463,"no hit"
"363","YWHAE","PA",-0.7459078,0.0330316,"no hit"
"364","YWHAE","PE",-0.9455276,0.0089787,"no hit"
"365","ACTC1|ACTA1","PA",0.8024025,0.0333403,"enriched candidate"
"366","ACTC1|ACTA1","PE",1.1429917,0.0041133,"enriched hit"
"367","SSR4","PA",0.5855332,0.0335823,"enriched candidate"
"368","SSR4","PE",0.7930475,0.0059367,"enriched candidate"
"369","GPI","PA",-0.7734076,0.0336305,"no hit"
"370","GPI","PE",-0.4952956,0.158271,"no hit"
"371","ABCG2","PA",1.2601713,0.0336884,"enriched candidate"
"372","ABCG2","PE",1.3966358,0.0201581,"enriched candidate"
"373","CALM1","PA",0.7661187,0.0337566,"enriched candidate"
"374","CALM1","PE",0.5945353,0.0915021,"no hit"
"375","IGSF8","PA",0.8283054,0.0340433,"enriched candidate"
"376","IGSF8","PE",0.7600261,0.0496476,"enriched candidate"
"377","PGD","PA",-0.8701061,0.0341524,"no hit"
"378","PGD","PE",-0.7006273,0.0815206,"no hit"
"379","CD58","PA",0.7876075,0.0347561,"enriched candidate"
"380","CD58","PE",0.6673019,0.068949,"enriched candidate"
"381","SERPINB6","PA",-0.7724718,0.0363172,"no hit"
"382","SERPINB6","PE",-1.0582488,0.0061664,"no hit"
"383","PGAM1","PA",-1.0205799,0.0364536,"no hit"
"384","PGAM1","PE",-1.0660334,0.0297145,"no hit"
"385","HSD17B4","PA",0.7042386,0.0365094,"enriched candidate"
"386","HSD17B4","PE",1.1843335,0.001297,"enriched hit"
"387","PLXNB2","PA",0.5541265,0.0367329,"no hit"
"388","PLXNB2","PE",0.6764503,0.01302,"enriched candidate"
"389","ATP5O","PA",0.9459344,0.0378524,"enriched candidate"
