gene_name,protein_id,LipidProbe,hit_annotation,logFC,pvalue,AveExpr,fdr
PSMA4,H0YN18|P25789|P25789-2,1-10 FA,no hit,-0.264692145,0.105617959,24.28454376,0.192017191
POFUT2,Q9Y2G5,1-10 FA,no hit,0.356282547,0.10590211,24.99475582,0.192224248
ACTR3,P61158,1-10 FA,no hit,-0.178765451,0.108018781,24.5111335,0.195751531
CPSF3,G5E9W3|Q9UKF6,1-10 FA,no hit,0.356297546,0.108469715,23.96939502,0.196253699
HARS,B3KWE1|P12081|P12081-2|P12081-3|P12081-4,1-10 FA,no hit,-0.383017441,0.109929109,23.41564257,0.198435381
EPN1,Q9Y6I3|Q9Y6I3-1|Q9Y6I3-3,1-10 FA,no hit,0.325261393,0.110110713,22.32676421,0.198435381
COPS6,E7EM64|Q7L5N1,1-10 FA,no hit,-0.235359881,0.11020282,23.55826282,0.198435381
DPYSL2,Q16555|Q16555-2,1-10 FA,no hit,-0.351815073,0.110585915,23.12846694,0.198659711
UPF1,Q92900|Q92900-2,1-10 FA,no hit,-0.1648187,0.110679325,25.52470014,0.198659711
AAMP,C9JEH3|C9JG97|Q13685,1-10 FA,no hit,-0.536155,0.110927614,22.89473562,0.198789327
U2AF1L5|U2AF1,P0DN76|Q01081,1-10 FA,no hit,0.480219029,0.113143091,23.84539991,0.202436066
SPATA20,A0A0U1RRL8|Q8TB22|Q8TB22-2|Q8TB22-3,1-10 FA,no hit,0.231696886,0.113321164,23.62632285,0.202436066
XPO4,F2Z2X4|Q9C0E2,1-10 FA,no hit,-0.178085342,0.113925043,23.19256708,0.203193323
CKAP4,Q07065,1-10 FA,no hit,0.244330288,0.11462221,24.33343627,0.204114313
NUP85,J3KT10|Q9BW27|Q9BW27-3,1-10 FA,no hit,0.292198533,0.11487593,23.62608968,0.204243976
IQGAP1,P46940,1-10 FA,no hit,-0.236486615,0.115261509,28.04181822,0.204607302
AARS2,Q5JTZ9,1-10 FA,no hit,0.262463844,0.116493924,23.86078551,0.206449896
SSBP1,A0A0G2JLD8|C9K0U8|E7EUY5|Q04837,1-10 FA,no hit,0.336039668,0.11666522,23.73694077,0.206449896
GFM2,Q969S9|Q969S9-2|Q969S9-3|Q969S9-4|Q969S9-5,1-10 FA,no hit,0.274174583,0.117513577,22.41751637,0.207625709
CHD3,Q12873|Q12873-2|Q12873-3,1-10 FA,no hit,0.209746052,0.117745567,23.297127,0.20771054
S100A6,P06703|R4GN98,1-10 FA,no hit,-0.641096119,0.11868569,23.50242954,0.208928211
PGAM5,Q96HS1|Q96HS1-2,1-10 FA,no hit,0.43119013,0.118875287,23.17085302,0.208928211
HLA-C,A0A140T912|A0A140T930|A0A140T937|A0A140T9M5|P30504|P30508|P30510|Q95604,1-10 FA,no hit,0.25623804,0.118991001,23.57709682,0.208928211
HKDC1,Q2TB90,1-10 FA,no hit,0.472209728,0.120397934,26.27013313,0.211038252
HSPA8,P11142,1-10 FA,no hit,-0.270147204,0.120566583,26.99901668,0.211038252
TARDBP,A0A087WV68|A0A087WXQ5|A0A087WYY0|A0A087X260|B1AKP7|G3V162|K7EJM5|K7EN94|Q13148,1-10 FA,no hit,0.502871418,0.120882438,23.59969387,0.21126358
ABCF1,H0YGW7|Q8NE71|Q8NE71-2,1-10 FA,no hit,-0.247211715,0.121359534,23.17579821,0.211479768
CBX5,P45973,1-10 FA,no hit,0.41912098,0.12138077,24.55199056,0.211479768
FHL2,A0A0A0MSG2|J3KNW4|Q14192,1-10 FA,no hit,-0.275722673,0.121922336,24.90066073,0.212001724
SMC4,E9PD53|Q9NTJ3,1-10 FA,no hit,-0.281000483,0.122055909,23.91180176,0.212001724
CASK,O14936|O14936-3,1-10 FA,no hit,0.410962252,0.122909127,22.59737969,0.213155768
RAI14,Q9P0K7|Q9P0K7-2|Q9P0K7-3|Q9P0K7-4,1-10 FA,no hit,0.275974167,0.123937199,22.90402985,0.214609046
