"","LipidProbe","gene_name","hit_annotation","logFC","pvalue","fdr"
"326","PA","SLC38A5","no hit",0.5757868,0.1195638,"Data not available"
"327","PA","USP10","no hit",-0.7552357,0.1196238,"Data not available"
"328","PA","MCAM","no hit",0.7428621,0.1198088,"Data not available"
"329","PA","MSN","no hit",1.4877823,0.1198543,"Data not available"
"330","PA","TLN1","no hit",0.4964995,0.1200941,"Data not available"
"331","PA","ALG5","no hit",0.6799184,0.120567,"Data not available"
"332","PA","SUPT16H","no hit",0.3565489,0.1207534,"Data not available"
"333","PA","CCT8","no hit",0.5130406,0.121007,"Data not available"
"334","PA","MMP15","no hit",0.4099008,0.1213524,"Data not available"
"335","PA","ADAM9","no hit",0.4688802,0.1214535,"Data not available"
"336","PA","TAPBP","no hit",0.5379738,0.1215162,"Data not available"
"337","PA","BZW2","no hit",-0.5642821,0.1219288,"Data not available"
"338","PA","DDOST","no hit",0.587256,0.122585,"Data not available"
"339","PA","EPB41L2","no hit",0.9540247,0.1226985,"Data not available"
"340","PA","SUCLG2","no hit",0.8475886,0.1232421,"Data not available"
"341","PA","LRPPRC","no hit",0.8803241,0.1235478,"Data not available"
"342","PA","G3BP2","no hit",-1.3005146,0.1238397,"Data not available"
"343","PA","RPN1","no hit",0.9055281,0.1245692,"Data not available"
"344","PA","RAB8A","no hit",0.3653774,0.1251734,"Data not available"
"345","PA","C17orf75","no hit",-0.3864451,0.1263078,"Data not available"
"346","PA","HNRNPA2B1","no hit",-0.5177406,0.1267995,"Data not available"
"347","PA","CAPZB","no hit",-0.4487241,0.1270582,"Data not available"
"348","PA","HSD17B10","no hit",0.6434498,0.1279775,"Data not available"
"349","PA","FLOT2","no hit",0.716083,0.1282138,"Data not available"
"350","PA","VDAC2","no hit",0.6761461,0.1286019,"Data not available"
"351","PA","SLIRP","no hit",0.8045309,0.1291731,"Data not available"
"352","PA","ANXA3","no hit",-0.6137583,0.1298005,"Data not available"
"353","PA","STT3A","no hit",0.5832009,0.130501,"Data not available"
"354","PA","COX5A","no hit",0.6865719,0.1308077,"Data not available"
"355","PA","CD320","no hit",0.3318795,0.1317788,"Data not available"
"356","PA","EIF4A1","no hit",-1.0769287,0.1320805,"Data not available"
"357","PA","HSPA5","no hit",0.7608667,0.1340677,"Data not available"
"358","PA","ARL15","no hit",0.4211931,0.134865,"Data not available"
"359","PA","FAM234A","no hit",0.4876238,0.1354343,"Data not available"
"360","PA","SGTA","no hit",-0.6912632,0.1355253,"Data not available"
"361","PA","ACTR3","no hit",0.7209652,0.1361174,"Data not available"
"362","PA","GPX8","no hit",0.7813264,0.1384419,"Data not available"
"363","PA","NSDHL","no hit",0.610431,0.1396551,"Data not available"
"364","PA","SAE1","no hit",-0.6869693,0.1399645,"Data not available"
"365","PA","TPI1","no hit",-0.8752863,0.14031,"Data not available"
"366","PA","GNB2","no hit",0.9235087,0.1415669,"Data not available"
"367","PA","PHB","no hit",1.0004014,0.1415971,"Data not available"
"368","PA","ALDOC","no hit",-0.46236,0.1417159,"Data not available"
"369","PA","DNPH1","no hit",-0.5491632,0.1432261,"Data not available"
"370","PA","BSG","no hit",0.7674527,0.1432631,"Data not available"
"371","PA","NUDT21","no hit",0.3128488,0.1436832,"Data not available"
"372","PA","CNOT1","no hit",-0.977367,0.1438879,"Data not available"
"373","PA","EZR","no hit",1.2053525,0.1447796,"Data not available"
"374","PA","RPS12","no hit",-0.5167728,0.1453146,"Data not available"
"375","PA","ERP29","no hit",0.8413553,0.1453974,"Data not available"
"376","PA","RHOA","no hit",0.3476848,0.145595,"Data not available"
"377","PA","FLOT1","no hit",0.7270289,0.1458074,"Data not available"
"378","PA","KDELC2","no hit",0.4823694,0.1460138,"Data not available"
"379","PA","GCN1","no hit",-1.0153633,0.1481564,"Data not available"
"380","PA","STX6","no hit",-0.3582669,0.1487628,"Data not available"
"381","PA","GSS","no hit",-0.5830147,0.1490047,"Data not available"
"382","PA","RPS10","no hit",-1.0015419,0.1493796,"Data not available"
"383","PA","CPM","no hit",0.6025927,0.1507395,"Data not available"
"384","PA","NAA15","no hit",-1.1184321,0.1511476,"Data not available"
"385","PA","SBDS","no hit",-0.6783491,0.1515137,"Data not available"
